../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M1500GeV_SR/Signal_M1500GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M2000GeV_SR/Signal_M2000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M2500GeV_SR/Signal_M2500GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M3000GeV_SR/Signal_M3000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M3500GeV_SR/Signal_M3500GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M4000GeV_SR/Signal_M4000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M4500GeV_SR/Signal_M4500GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M20000GeV_SR/Signal_M20000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M30000GeV_SR/Signal_M30000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M40000GeV_SR/Signal_M40000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M50000GeV_SR/Signal_M50000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area,../rpf2x0_Binningv9_Inputv25_SR_Blind/rpf2x0_Signal_M90000GeV_SR/Signal_M90000GeV_SR-2x0_area
1.438498e+01, 1.116452e+01, 8.939387e+00, 7.357000e+00, 6.191985e+00, 5.307154e+00, 4.617108e+00, 6.756268e-01, 3.902201e-01, 2.635298e-01, 1.876099e-01, 6.717211e-02, 3.828904e-02, 2.570602e-02, 1.886739e-02, 1.465226e-02, 1.183125e-02, 9.830111e-03, 8.347619e-03, 8.347619e-03
1.789446e+01, 1.424652e+01, 1.158278e+01, 9.630072e+00, 8.164294e+00, 7.035912e+00, 6.147125e+00, 9.235009e-01, 5.347442e-01, 3.615923e-01, 2.576184e-01, 9.237912e-02, 5.268421e-02, 3.537948e-02, 2.597137e-02, 2.017121e-02, 1.628882e-02, 1.353446e-02, 1.149380e-02, 1.149380e-02
2.156150e+01, 1.764469e+01, 1.458426e+01, 1.225968e+01, 1.047565e+01, 9.081180e+00, 7.970484e+00, 1.231949e+00, 7.153127e-01, 4.843577e-01, 3.453681e-01, 1.240497e-01, 7.078503e-02, 4.754795e-02, 3.490977e-02, 2.711639e-02, 2.189896e-02, 1.819703e-02, 1.545408e-02, 1.545408e-02
2.524726e+01, 2.128035e+01, 1.790386e+01, 1.522907e+01, 1.312323e+01, 1.144857e+01, 1.009792e+01, 1.609151e+00, 9.370935e-01, 6.354695e-01, 4.535192e-01, 1.631845e-01, 9.317109e-02, 6.260368e-02, 4.597184e-02, 3.571315e-02, 2.884407e-02, 2.396961e-02, 2.035752e-02, 2.035752e-02
2.880531e+01, 2.505827e+01, 2.148561e+01, 1.850802e+01, 1.609332e+01, 1.413497e+01, 1.253318e+01, 2.063467e+00, 1.205466e+00, 8.187522e-01, 5.848774e-01, 2.108488e-01, 1.204613e-01, 8.096612e-02, 5.946722e-02, 4.620285e-02, 3.731954e-02, 3.101488e-02, 2.634249e-02, 2.634249e-02
3.209169e+01, 2.887155e+01, 2.525957e+01, 2.205351e+01, 1.936130e+01, 1.712822e+01, 1.527255e+01, 2.603356e+00, 1.525987e+00, 1.038194e+00, 7.423842e-01, 2.681704e-01, 1.533131e-01, 1.030816e-01, 7.572566e-02, 5.884269e-02, 4.753372e-02, 3.950635e-02, 3.355660e-02, 3.355660e-02
3.497454e+01, 3.260718e+01, 2.914469e+01, 2.581099e+01, 2.289209e+01, 2.040708e+01, 1.830463e+01, 3.237298e+00, 1.904358e+00, 1.297927e+00, 9.291055e-01, 3.363382e-01, 1.924218e-01, 1.294228e-01, 9.509677e-02, 7.390557e-02, 5.970774e-02, 4.962826e-02, 4.215663e-02, 4.215663e-02
3.734242e+01, 3.615198e+01, 3.305213e+01, 2.971611e+01, 2.664094e+01, 2.394156e+01, 2.161030e+01, 3.973714e+00, 2.346385e+00, 1.602209e+00, 1.148220e+00, 4.165992e-01, 2.385195e-01, 1.604886e-01, 1.179498e-01, 9.167991e-02, 7.407548e-02, 6.157549e-02, 5.230847e-02, 5.230847e-02
3.911063e+01, 3.939833e+01, 3.688902e+01, 3.369698e+01, 3.055470e+01, 2.769352e+01, 2.516297e+01, 4.820878e+00, 2.857947e+00, 1.955406e+00, 1.403009e+00, 5.102568e-01, 2.923744e-01, 1.968032e-01, 1.446734e-01, 1.124695e-01, 9.088333e-02, 7.555351e-02, 6.418707e-02, 6.418707e-02
4.022534e+01, 4.224943e+01, 4.056233e+01, 3.767663e+01, 3.457334e+01, 3.161755e+01, 2.892910e+01, 5.786846e+00, 3.444957e+00, 2.361965e+00, 1.696840e+00, 6.186681e-01, 3.547897e-01, 2.389160e-01, 1.756753e-01, 1.365932e-01, 1.103902e-01, 9.177825e-02, 7.797635e-02, 7.797635e-02
4.066510e+01, 4.462372e+01, 4.398267e+01, 4.157573e+01, 3.863174e+01, 3.566215e+01, 3.286887e+01, 6.879369e+00, 4.113322e+00, 2.826399e+00, 2.033161e+00, 7.432414e-01, 4.266028e-01, 2.874009e-01, 2.113818e-01, 1.643850e-01, 1.328673e-01, 1.104760e-01, 9.386914e-02, 9.386914e-02
4.044007e+01, 4.645832e+01, 4.706780e+01, 4.531534e+01, 4.266164e+01, 3.977101e+01, 3.693702e+01, 8.105820e+00, 4.868911e+00, 3.353266e+00, 2.415480e+00, 8.854338e-01, 5.086839e-01, 3.428558e-01, 2.522380e-01, 1.961935e-01, 1.585979e-01, 1.318834e-01, 1.120671e-01, 1.120671e-01
3.958912e+01, 4.771114e+01, 4.974571e+01, 4.881958e+01, 4.659368e+01, 4.388455e+01, 4.108395e+01, 9.473115e+00, 5.717510e+00, 3.947142e+00, 2.847358e+00, 1.046748e+00, 6.019354e-01, 4.059022e-01, 2.987068e-01, 2.323820e-01, 1.878774e-01, 1.562470e-01, 1.327805e-01, 1.327805e-01
1.500711e+01, 3.265340e+01, 4.853071e+01, 6.032397e+01, 6.816063e+01, 7.286203e+01, 7.527078e+01, 3.195857e+01, 2.046257e+01, 1.455008e+01, 1.068371e+01, 4.069280e+00, 2.367866e+00, 1.606181e+00, 1.186200e+00, 9.249993e-01, 7.491116e-01, 6.237831e-01, 5.306204e-01, 5.306204e-01
1.753594e+00, 8.445514e+00, 2.021873e+01, 3.453452e+01, 4.896517e+01, 6.205798e+01, 7.318697e+01, 7.062568e+01, 4.896007e+01, 3.622434e+01, 2.724014e+01, 1.088200e+01, 6.433533e+00, 4.398833e+00, 3.264158e+00, 2.553496e+00, 2.072651e+00, 1.728831e+00, 1.472577e+00, 1.472577e+00
7.336967e-02, 9.588659e-01, 4.178420e+00, 1.063970e+01, 2.006472e+01, 3.149530e+01, 4.386712e+01, 1.187582e+02, 9.096987e+01, 7.075110e+01, 5.482118e+01, 2.325200e+01, 1.402401e+01, 9.684909e+00, 7.229870e+00, 5.678434e+00, 4.622302e+00, 3.863793e+00, 3.296566e+00, 3.296566e+00
1.181874e-03, 5.138484e-02, 4.605775e-01, 1.896833e+00, 5.042919e+00, 1.024134e+01, 1.742825e+01, 1.633811e+02, 1.411360e+02, 1.165667e+02, 9.363766e+01, 4.268585e+01, 2.637157e+01, 1.843231e+01, 1.385948e+01, 1.093788e+01, 8.934170e+00, 7.487354e+00, 6.400979e+00, 6.400979e+00
7.634387e-06, 1.353752e-03, 2.820378e-02, 2.038140e-01, 8.096846e-01, 2.222348e+00, 4.780348e+00, 1.915395e+02, 1.904341e+02, 1.687355e+02, 1.413831e+02, 7.012305e+01, 4.455772e+01, 3.158433e+01, 2.394979e+01, 1.900772e+01, 1.558818e+01, 1.310321e+01, 1.122828e+01, 1.122828e+01
2.027902e-08, 1.798006e-05, 9.838913e-04, 1.353523e-02, 8.516394e-02, 3.300147e-01, 9.282764e-01, 1.962253e+02, 2.291601e+02, 2.200644e+02, 1.935130e+02, 1.057091e+02, 6.936718e+01, 4.996807e+01, 3.825749e+01, 3.055911e+01, 2.517696e+01, 2.123652e+01, 1.824668e+01, 1.824668e+01
2.252217e-11, 1.224086e-07, 1.988120e-05, 5.648644e-04, 5.966537e-03, 3.409894e-02, 1.297561e-01, 1.786125e+02, 2.500586e+02, 2.629211e+02, 2.441234e+02, 1.486822e+02, 1.011696e+02, 7.421011e+01, 5.743965e+01, 4.621530e+01, 3.827350e+01, 3.240901e+01, 2.793050e+01, 2.793050e+01
1.058004e-14, 4.321410e-10, 2.354062e-07, 1.498628e-05, 2.816692e-04, 2.480039e-03, 1.320793e-02, 1.461345e+02, 2.503090e+02, 2.911099e+02, 2.871568e+02, 1.973899e+02, 1.398410e+02, 1.046663e+02, 8.199951e+01, 6.651031e+01, 5.539928e+01, 4.711386e+01, 4.074005e+01, 4.074005e+01
2.119900e-18, 7.977520e-13, 1.647058e-09, 2.548888e-07, 9.035315e-06, 1.280332e-04, 9.872673e-04, 1.083714e+02, 2.317819e+02, 3.012179e+02, 3.175963e+02, 2.494285e+02, 1.847328e+02, 1.413711e+02, 1.122410e+02, 9.185160e+01, 7.699408e+01, 6.579131e+01, 5.710166e+01, 5.710166e+01
1.823103e-22, 7.749192e-16, 6.852249e-12, 2.796611e-09, 1.981761e-07, 4.721180e-06, 5.453116e-05, 7.330169e+01, 1.997875e+02, 2.930989e+02, 3.323499e+02, 3.018838e+02, 2.346905e+02, 1.840099e+02, 1.482345e+02, 1.224887e+02, 1.033892e+02, 8.880603e+01, 7.738869e+01, 7.738869e+01
6.761740e-27, 3.979925e-19, 1.703234e-14, 1.988941e-11, 2.986394e-09, 1.249470e-07, 2.236396e-06, 4.543965e+01, 1.610744e+02, 2.694889e+02, 3.306461e+02, 3.516333e+02, 2.881199e+02, 2.319169e+02, 1.897968e+02, 1.584898e+02, 1.347849e+02, 1.164272e+02, 1.019041e+02, 1.019041e+02
1.085652e-31, 1.084817e-22, 2.539018e-17, 9.203502e-14, 3.103587e-11, 2.382221e-09, 6.835649e-08, 2.591259e+01, 1.219235e+02, 2.350143e+02, 3.139151e+02, 3.956669e+02, 3.430915e+02, 2.840977e+02, 2.364848e+02, 1.997262e+02, 1.712335e+02, 1.488118e+02, 1.308653e+02, 1.308653e+02
7.568530e-37, 1.574002e-26, 2.276729e-20, 2.779264e-16, 2.231032e-13, 3.281880e-11, 1.561859e-09, 1.363469e+01, 8.690696e+01, 1.949745e+02, 2.852632e+02, 4.313830e+02, 3.974749e+02, 3.392741e+02, 2.876049e+02, 2.458676e+02, 2.126287e+02, 1.859925e+02, 1.643916e+02, 1.643916e+02
2.296564e-42, 1.218649e-30, 1.231029e-23, 5.490467e-19, 1.112064e-15, 3.274956e-13, 2.674190e-11, 6.635839e+00, 5.847709e+01, 1.542586e+02, 2.487262e+02, 4.568221e+02, 4.490865e+02, 3.959488e+02, 3.422357e+02, 2.963860e+02, 2.587007e+02, 2.278693e+02, 2.024952e+02, 2.024952e+02
3.039215e-48, 5.044820e-35, 4.021668e-27, 7.109861e-22, 3.851288e-18, 2.371918e-15, 3.437958e-13, 2.993174e+00, 3.721777e+01, 1.166214e+02, 2.085013e+02, 4.708164e+02, 4.958384e+02, 4.524828e+02, 3.992640e+02, 3.505691e+02, 3.090194e+02, 2.742067e+02, 2.450751e+02, 2.450751e+02
1.757047e-54, 1.118486e-39, 7.951494e-31, 6.045175e-25, 9.282340e-21, 1.248904e-17, 3.324225e-15, 1.253364e+00, 2.244254e+01, 8.438943e+01, 1.683184e+02, 4.730424e+02, 5.358756e+02, 5.071816e+02, 4.574294e+02, 4.075423e+02, 3.630027e+02, 3.246354e+02, 2.919151e+02, 2.919151e+02
4.443791e-61, 1.329969e-44, 9.528062e-35, 3.379568e-28, 1.559169e-23, 4.787426e-20, 2.420864e-17, 4.879106e-01, 1.283983e+01, 5.853119e+01, 1.310383e+02, 4.639821e+02, 5.676883e+02, 5.583826e+02, 5.153781e+02, 4.662979e+02, 4.199315e+02, 3.786587e+02, 3.426855e+02, 3.426855e+02
4.922532e-68, 8.491724e-50, 6.927723e-39, 1.243755e-31, 1.827383e-26, 1.337629e-22, 1.329405e-19, 1.767819e-01, 6.977967e+00, 3.895768e+01, 9.849756e+01, 4.448071e+02, 5.901941e+02, 6.045386e+02, 5.717187e+02, 5.257300e+02, 4.789701e+02, 4.356632e+02, 3.969476e+02, 3.969476e+02
2.390732e-75, 2.914310e-55, 3.059490e-43, 3.016287e-35, 1.495925e-29, 2.726920e-25, 5.510536e-22, 5.967779e-02, 3.605982e+00, 2.490851e+01, 7.155765e+01, 4.172095e+02, 6.027835e+02, 6.442916e+02, 6.250806e+02, 5.846733e+02, 5.391906e+02, 4.949340e+02, 4.541629e+02, 4.541629e+02
5.095216e-83, 5.380755e-61, 8.214140e-48, 4.824544e-39, 8.560815e-33, 4.059703e-28, 1.725686e-24, 1.878653e-02, 1.773475e+00, 1.531204e+01, 5.028886e+01, 3.832045e+02, 6.053286e+02, 6.765332e+02, 6.741690e+02, 6.419433e+02, 5.996005e+02, 5.556728e+02, 5.137040e+02, 5.137040e+02
4.768870e-91, 5.348722e-67, 1.341719e-52, 5.093514e-43, 3.427502e-36, 4.417055e-31, 4.085948e-27, 5.519139e-03, 8.307406e-01, 9.056933e+00, 3.421405e+01, 3.449313e+02, 5.981586e+02, 7.004479e+02, 7.178148e+02, 6.963778e+02, 6.591727e+02, 6.170185e+02, 5.748690e+02, 5.748690e+02
1.961462e-99, 2.864485e-73, 1.334251e-57, 3.551784e-47, 9.606995e-40, 3.514620e-34, 7.319430e-30, 1.514178e-03, 3.708810e-01, 5.158008e+00, 2.254988e+01, 3.044742e+02, 5.820052e+02, 7.155380e+02, 7.550176e+02, 7.468753e+02, 7.168763e+02, 6.780700e+02, 6.368976e+02, 6.368976e+02
3.547404e-108, 8.269660e-80, 8.082489e-63, 1.636812e-51, 1.886253e-43, 2.046379e-37, 9.925908e-33, 3.881673e-04, 1.579020e-01, 2.830028e+00, 1.440610e+01, 2.637177e+02, 5.579277e+02, 7.216305e+02, 7.849788e+02, 7.924310e+02, 7.717065e+02, 7.379100e+02, 6.989890e+02, 6.989890e+02
2.822499e-117, 1.287654e-86, 2.984078e-68, 4.987689e-56, 2.595617e-47, 8.723317e-41, 1.019524e-35, 9.302991e-05, 6.414316e-02, 1.496694e+00, 8.925578e+00, 2.242460e+02, 5.272240e+02, 7.188661e+02, 8.071246e+02, 8.321670e+02, 8.227134e+02, 7.956286e+02, 7.603204e+02, 7.603204e+02
9.884384e-127, 1.081886e-93, 6.717889e-74, 1.005424e-60, 2.504434e-51, 2.723738e-44, 7.935222e-39, 2.085396e-05, 2.487271e-02, 7.633243e-01, 5.365554e+00, 1.872868e+02, 4.913364e+02, 7.076728e+02, 8.211178e+02, 8.653576e+02, 8.690283e+02, 8.503464e+02, 8.200662e+02, 8.200662e+02
1.524183e-136, 4.906974e-101, 9.225548e-80, 1.341303e-65, 1.695064e-55, 6.231836e-48, 4.682030e-42, 4.374167e-06, 9.210532e-03, 3.755762e-01, 3.130834e+00, 1.536970e+02, 4.517604e+02, 6.887271e+02, 8.268590e+02, 8.914475e+02, 9.098862e+02, 9.012366e+02, 8.774171e+02, 8.774171e+02
1.035276e-146, 1.201866e-108, 7.731227e-86, 1.184657e-70, 8.050640e-60, 1.045187e-51, 2.094995e-45, 8.588228e-07, 3.258333e-03, 1.783447e-01, 1.773915e+00, 1.239823e+02, 4.099615e+02, 6.629066e+02, 8.244774e+02, 9.100625e+02, 9.446443e+02, 9.475440e+02, 9.315976e+02, 9.315976e+02
3.098503e-157, 1.590202e-116, 3.954995e-92, 6.929325e-76, 2.684025e-64, 1.285416e-55, 7.111313e-49, 1.578910e-07, 1.101538e-03, 8.175975e-02, 9.762867e-01, 9.834097e+01, 3.673059e+02, 6.312367e+02, 8.143136e+02, 9.210138e+02, 9.727961e+02, 9.886028e+02, 9.818835e+02, 9.818835e+02
6.058513e-184, 1.595361e-136, 4.213756e-108, 3.566916e-89, 1.141794e-75, 1.498802e-65, 1.088972e-57, 2.076337e-09, 6.791415e-05, 1.091466e-02, 2.071830e-01, 5.273797e+01, 2.683001e+02, 5.381300e+02, 7.616367e+02, 9.163537e+02, 1.011558e+03, 1.062600e+03, 1.082908e+03, 1.082908e+03
1.061005e-212, 4.634856e-158, 2.628716e-125, 1.719093e-103, 6.359209e-88, 2.942163e-76, 3.413852e-67, 1.879411e-11, 3.240918e-06, 1.195941e-03, 3.738083e-02, 2.579933e+01, 1.830217e+02, 4.334783e+02, 6.778710e+02, 8.716491e+02, 1.009015e+03, 1.098367e+03, 1.150807e+03, 1.150807e+03
1.668931e-243, 3.910349e-181, 9.629422e-144, 7.779317e-119, 4.650119e-101, 9.750837e-88, 2.197174e-77, 1.174250e-13, 1.200478e-07, 1.078623e-04, 5.750331e-03, 1.154571e+01, 1.169242e+02, 3.308749e+02, 5.757320e+02, 7.949374e+02, 9.682175e+02, 1.094929e+03, 1.181744e+03, 1.181744e+03
2.363370e-276, 9.602845e-206, 2.076069e-163, 3.313005e-135, 4.474794e-115, 5.468555e-100, 2.909904e-88, 5.075943e-16, 3.459561e-09, 8.025866e-06, 7.559418e-04, 4.737648e+00, 7.011786e+01, 2.398718e+02, 4.677032e+02, 6.966896e+02, 8.958177e+02, 1.055087e+03, 1.175323e+03, 1.175323e+03
3.018735e-311, 6.877284e-232, 2.639341e-184, 1.330357e-152, 5.677504e-130, 5.199790e-113, 7.945380e-100, 1.520957e-18, 7.771335e-11, 4.936325e-07, 8.508685e-05, 1.785918e+00, 3.954598e+01, 1.654780e+02, 3.641027e+02, 5.878789e+02, 8.006904e+02, 9.846466e+02, 1.134308e+03, 1.134308e+03
0.000000e+00, 1.438658e-259, 1.981766e-206, 5.045112e-171, 9.512783e-146, 8.395993e-127, 4.479841e-112, 3.164112e-21, 1.362914e-12, 2.513595e-08, 8.213069e-06, 6.194516e-01, 2.100950e+01, 1.088022e+02, 2.720642e+02, 4.783755e+02, 6.924655e+02, 8.913604e+02, 1.063982e+03, 1.063982e+03
0.000000e+00, 8.802462e-289, 8.800244e-230, 1.809306e-190, 2.107686e-162, 2.305227e-141, 5.222817e-125, 4.576183e-24, 1.868621e-14, 1.061082e-09, 6.807687e-07, 1.979622e-01, 1.052812e+01, 6.827363e+01, 1.953867e+02, 3.758933e+02, 5.802330e+02, 7.837707e+02, 9.712927e+02, 9.712927e+02
0.000000e+00, 0.000000e+00, 2.313761e-254, 6.143099e-211, 6.182270e-180, 1.077473e-156, 1.260483e-138, 4.606457e-27, 2.005164e-16, 3.717578e-11, 4.851099e-08, 5.835553e-02, 4.982000e+00, 4.093381e+01, 1.350175e+02, 2.855421e+02, 4.715989e+02, 6.701669e+02, 8.639199e+02, 8.639199e+02
0.000000e+00, 0.000000e+00, 3.605364e-280, 1.976619e-232, 2.403030e-198, 8.581734e-173, 6.303536e-153, 3.230488e-30, 1.685696e-18, 1.082066e-12, 2.974763e-09, 1.588296e-02, 2.228429e+00, 2.347201e+01, 8.986320e+01, 2.098994e+02, 3.721642e+02, 5.577766e+02, 7.494275e+02, 7.494275e+02
0.000000e+00, 0.000000e+00, 3.332383e-307, 6.032344e-255, 1.238818e-217, 1.165703e-189, 6.537542e-168, 1.579698e-33, 1.111161e-20, 2.618772e-14, 1.571101e-10, 3.994830e-03, 9.429837e-01, 1.288323e+01, 5.765513e+01, 1.494359e+02, 2.854008e+02, 4.522605e+02, 6.345798e+02, 6.345798e+02
0.000000e+00, 0.000000e+00, 0.000000e+00, 1.747420e-278, 8.476434e-238, 2.702496e-207, 1.407174e-183, 5.390200e-37, 5.747295e-23, 5.273657e-16, 7.151791e-12, 9.291858e-04, 3.777806e-01, 6.773696e+00, 3.568439e+01, 1.031149e+02, 2.128408e+02, 3.575099e+02, 5.248838e+02, 5.248838e+02
0.000000e+00, 0.000000e+00, 0.000000e+00, 4.807698e-303, 7.702939e-259, 1.070008e-225, 6.290200e-200, 1.284224e-40, 2.334095e-25, 8.842527e-18, 2.807793e-13, 1.999974e-04, 1.433789e-01, 3.413763e+00, 2.131980e+01, 6.900667e+01, 1.544591e+02, 2.757012e+02, 4.243662e+02, 4.243662e+02
0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 9.302175e-281, 7.239362e-245, 5.842673e-217, 2.137612e-44, 7.447130e-28, 1.235203e-19, 9.512655e-15, 3.985756e-05, 5.158081e-02, 1.650040e+00, 1.230267e+01, 4.481367e+01, 1.091386e+02, 2.075330e+02, 3.355566e+02, 3.355566e+02
